_id,level,max_velocity,name,type
326848006,1,-1.0,Hai Bà Trưng,primary
326848007,2,-1.0,Hàm Nghi,secondary
326848009,3,-1.0,Lê Lợi,tertiary
326848010,3,-1.0,Lê Lợi,tertiary
326848017,3,-1.0,Nguyễn Trãi,tertiary
326848021,3,-1.0,Phó Ðức Chính,tertiary
326848022,3,-1.0,Phó Ðức Chính,tertiary
326848024,3,-1.0,Phó Ðức Chính,tertiary
326848028,1,-1.0,Tôn Đức Thắng,primary
326848029,1,-1.0,Tôn Ðức Thắng,primary
326849838,3,10.0,Đường dẫn Ga Quốc Nội,tertiary
326849839,2,10.0,(không tên),secondary_link
326849840,3,10.0,Đường dẫn Sảnh Đến Quốc tế,tertiary
326849841,3,-1.0,Lê Lai,tertiary
326849842,1,-1.0,Nam Kỳ Khởi Nghĩa,primary
326849844,1,-1.0,Nguyễn Thị Minh Khai,primary
326849845,1,-1.0,Nguyễn Thị Minh Khai,primary
326849846,1,-1.0,Pasteur,primary
326849847,2,-1.0,Trường Sơn,secondary
326849848,1,-1.0,Võ Thị Sáu,primary
326849849,1,-1.0,Võ Thị Sáu,primary
326849852,2,-1.0,Đường số 9A,secondary
326849853,2,-1.0,Đường số 9A,secondary
327048050,1,-1.0,Cầu vượt Lăng Cha Cả,primary
327048051,1,-1.0,Hoàng Văn Thụ,primary
327048052,3,-1.0,Nguyễn Ðình Chiểu,tertiary
327048054,3,-1.0,Bà Huyện Thanh Quan,tertiary
327048055,3,-1.0,Bà Huyện Thanh Quan,tertiary
327048056,3,-1.0,Lê Lai,tertiary
327048057,2,-1.0,Trần Hưng Ðạo,secondary
327048058,1,-1.0,Nguyễn Văn Cừ,primary
327074920,1,-1.0,Ðiện Biên Phủ,primary
327090281,3,-1.0,Cầu Nguyễn Văn Cừ,tertiary
327090282,2,-1.0,Võ Văn Kiệt,primary_link
327090283,1,-1.0,Võ Văn Kiệt,primary
327090284,1,-1.0,Võ Văn Kiệt,primary
327090285,2,-1.0,Võ Văn Kiệt,primary_link
327090291,2,-1.0,(không tên),primary_link
327090292,1,-1.0,(không tên),primary
327097625,2,-1.0,3 Tháng 2,primary_link
327097628,3,-1.0,Bình Tiên,tertiary
327097630,3,-1.0,Cao Thắng,tertiary
327097633,1,-1.0,Kinh Dương Vương,primary
327097634,1,-1.0,Kinh Dương Vương,primary
327097636,1,-1.0,Nguyễn Thị Minh Khai,primary
327097640,3,-1.0,Nguyễn Văn Luông,tertiary
327097643,3,40.0,Phạm Văn Chí,tertiary_link
327097648,2,-1.0,vòng xoay Thái Bình,secondary
327097661,1,-1.0,Ðiện Biên Phủ,primary
327097662,1,-1.0,Ðiện Biên Phủ,primary
327181426,3,-1.0,(không tên),tertiary
327181427,3,-1.0,Cao Thắng,tertiary
327181428,3,-1.0,Cống Quỳnh,tertiary
327181429,1,-1.0,Công Trường Mê Linh,primary
327181430,2,40.0,Hậu Giang,secondary
327181431,1,-1.0,Kinh Dương Vương,primary
327181433,3,-1.0,Nguyễn Ðình Chiểu,tertiary
327181434,3,-1.0,Nguyễn Ðình Chiểu,tertiary
327181435,1,-1.0,Nguyễn Thị Minh Khai,primary
327192436,2,40.0,Hậu Giang,secondary_link
327262608,3,-1.0,Đường sô 44,unclassified
327427168,3,-1.0,(không tên),tertiary
327427169,3,-1.0,(không tên),tertiary
327452998,3,-1.0,(không tên),unclassified
327579796,3,-1.0,(không tên),unclassified
327579797,3,-1.0,Tô Ngọc Vân,tertiary
327579798,3,-1.0,Tô Ngọc Vân,tertiary
327591192,3,-1.0,(không tên),unclassified
327591216,3,-1.0,(không tên),unclassified
327591220,3,-1.0,(không tên),unclassified
327591286,3,-1.0,(không tên),unclassified
327591354,3,-1.0,(không tên),unclassified
327591365,3,-1.0,(không tên),unclassified
327596572,2,-1.0,Nguyễn Ảnh Thủ,secondary
328168531,1,-1.0,Phạm Văn Đồng,primary
328168532,1,60.0,Phạm Văn Đồng,primary
328183419,3,-1.0,Thạnh Lộc 15,unclassified
328183437,3,-1.0,Thạnh Lộc 27,tertiary
328183438,3,-1.0,(không tên),tertiary
328183446,3,-1.0,(không tên),tertiary
328374357,2,-1.0,(không tên),secondary_link
328804667,2,-1.0,(không tên),secondary_link
328804672,3,-1.0,(không tên),unclassified
329878176,1,-1.0,Hà Huy Giáp,primary
329878177,1,-1.0,Hai Bà Trưng,primary
329878178,1,-1.0,Hai Bà Trưng,primary
329878179,1,-1.0,Hoàng Văn Thụ,primary
329878180,3,-1.0,Lê Lợi Boulevard,tertiary
329878181,2,-1.0,Lý Tự Trọng,secondary
329878182,2,-1.0,Lý Tự Trọng,secondary
329878183,3,-1.0,Nam Kỳ Khởi Nghĩa,tertiary
329878184,3,-1.0,Nam Kỳ Khởi Nghĩa,tertiary
329878186,3,-1.0,Pasteur,tertiary
329878187,3,-1.0,Pasteur,tertiary
330035859,2,-1.0,Phan Đình Giót,secondary
330035860,1,-1.0,Trần Quốc Hoàn,primary
330035861,1,80.0,Trường Chinh,primary
330035862,0,60.0,Quốc lộ 22,trunk
330035863,3,-1.0,Trung Mỹ Tây 2A,unclassified
330035864,0,60.0,Quốc lộ 22,trunk
330035865,0,60.0,Quốc lộ 22,trunk
330035866,1,60.0,Quốc lộ 22,primary
330071250,1,-1.0,Hoàng Văn Thụ,primary
330071253,1,80.0,Trường Chinh,primary
330071254,1,80.0,Trường Chinh,primary
330237273,1,-1.0,Quốc lộ 1K,primary
330237274,1,-1.0,Quốc lộ 1K,primary
330239278,1,60.0,Phạm Văn Đồng,primary
330239279,1,60.0,Phạm Văn Đồng,primary
330239280,2,-1.0,(không tên),primary_link
330374253,1,-1.0,Bạch Đằng,primary
330374254,1,-1.0,Bạch Đằng,primary
330374257,3,-1.0,Lê Hồng Phong,tertiary
330374261,3,-1.0,Lê Quang Sung,tertiary
330374266,1,-1.0,Quốc lộ 13,primary
330374269,1,-1.0,Quốc lộ 13,primary
330374271,2,-1.0,Ngô Gia Tự,secondary
330374273,3,-1.0,Nguyễn Chí Thanh,tertiary
330374285,0,60.0,Quốc lộ 1,trunk
330374286,3,-1.0,Quốc lộ 1,tertiary
330374288,3,-1.0,Quốc lộ 1,tertiary
330374290,3,-1.0,Quốc lộ 1,tertiary
330374291,3,-1.0,Quốc lộ 1,tertiary
